question,label
Which was my grade in HS231?,1
Which was the grade of 1401CS02 in CS201?,1
Who was your creator?,0
Which year had CS421?,1
Which subno are there in year 2017?,1
my name is nischal,0
what is your name?,0
how are you?,0
sorry,0
List all rollno with AA grade in CS201.,1
I am doing good,0
What was the grade of 1401cs33 in CS201?,1
Hi,0
Hello,0
What was the crd of CS222?,1
Hey,0
List all rollno of students enrolled in CE304.,1
What is your age?,0
What is the sub_type of CS302?,1
What do you want?,0
List all subno of 1401CS01 in semno 6.,1
Who created you?,0
who scored lowest in HS202?,1
Where do you live?,0
how to ask a database question?,0
who is roll_number 1801cs58?,1
Can you tell me who all secured grade AA in HS201?,1
who is roll_number 1401cs21?,1
What should I call you?,0
I wanted to know the topper of HS201,1
How do I create an account on Google?,0
Thank You!,0
How many students are enrolled in CS201?,1
Please tell me the names of all people from Rajasthan. ,1
How old are you?,0
How many people are there in the world?,0
How can I grow rich?,0
How much is the average in the subjects of 6th Sem.,1
How many students are enrolled in CS225?,1
How can I trust you?,0
What algorithm do you work on?,0
How much do you eat in a day?,0
How much did I score in CE205?,1
How can I reach IIT Patna?,0
How to study?,0
How many females are there in IIT Patna?,1
What is the average grade in CS subjects of 6th Sem?,1
Which year had highest electives?,1
How many students are there in 2018 batch?,1
How many days did it take to create you?,0
How much did 1401CS25 score in CS303?,1
which year was cs421 held?,1
